pauri,line,gu_index,gurmukhi,transliteration,translation
10,1,1,ਸੁਣਿਐ ਸਤਿ ਸੰਤੋਖੁ,suṇiai sat santokh,"by listening, truth and contentment arise"
10,1,2,ਗਿਆਨੁ,gi-aan,and spiritual wisdom blossoms
10,2,1,ਸੁਣਿਐ ਅਠਸਠਿ ਕਾ,suṇiai aṭhasath kā,"by listening, one gains the fruit of all sixty-eight tirths"
10,2,2,ਇਸਨਾਨੁ,isnaan,a complete inner cleansing
10,3,1,ਸੁਣਿਐ ਪੜਿ ਪੜਿ,suṇiai paṛh paṛh,"through listening, study and recitation"
10,3,2,ਪਾਵਹਿ ਮਾਨੁ,paavahi maan,are crowned with genuine respect and honor
10,4,1,ਸੁਣਿਐ ਲਾਗੈ,suṇiai laagai,"by listening, the mind becomes gently attached"
10,4,2,ਸਹਜਿ ਧਿਆਨੁ,sahaj dhi-aan,"to a state of spontaneous, balanced meditation"
10,5,1,ਨਾਨਕ ਭਗਤਾ,naanak bhagtaa,"O Nanak, the bhagats, the devoted ones"
10,5,2,ਸਦਾ ਵਿਗਾਸੁ,sadaa vigaas,"are ever in expansion, joy, and inner blossoming"
10,6,1,ਸੁਣਿਐ ਦੂਖ ਪਾਪ ਕਾ,suṇi-ai dookh paap kaa,"through listening, pain and the burden of sin"
10,6,2,ਨਾਸੁ ॥੧੦॥,naas ||10||,are destroyed and made to vanish. ||10||
